,vessel,begin_date,end_date,begin_port_id,end_port_id,delta
194,14.0,2019-01-16 01:24:00,2019-01-19 13:26:00,134.0,55.0,3.0
196,14.0,2019-02-17 10:35:00,2019-02-24 01:47:00,72.0,115.0,6.0
212,15.0,2019-02-08 04:49:00,2019-02-13 13:23:00,134.0,55.0,5.0
235,16.0,2019-10-01 16:28:00,2019-10-06 23:52:00,7.0,115.0,5.0
241,17.0,2019-03-13 06:48:00,2019-03-19 09:55:00,37.0,27.0,6.0
249,18.0,2019-01-03 22:56:00,2019-01-06 07:51:00,121.0,115.0,2.0
258,18.0,2019-05-14 17:51:00,2019-05-16 10:34:00,138.0,83.0,1.0
293,20.0,2019-08-23 05:40:00,2019-08-28 05:49:00,32.0,115.0,5.0
298,20.0,2019-12-09 21:42:00,2019-12-16 06:56:00,54.0,99.0,6.0
299,20.0,2019-12-16 21:51:00,2019-12-17 06:49:00,99.0,32.0,0.0
313,22.0,2019-06-04 08:54:00,2019-06-06 07:30:00,10.0,19.0,1.0
314,22.0,2019-06-07 10:30:00,2019-06-09 10:31:00,19.0,10.0,2.0
325,23.0,2019-06-21 13:30:00,2019-06-23 07:23:00,10.0,19.0,1.0
326,23.0,2019-06-24 04:28:00,2019-06-26 10:58:00,19.0,10.0,2.0
332,23.0,2019-10-31 16:28:00,2019-11-04 20:12:00,115.0,7.0,4.0
345,24.0,2019-07-28 23:55:00,2019-08-04 20:49:00,115.0,51.0,6.0
348,24.0,2019-10-10 07:29:00,2019-10-17 01:31:00,115.0,139.0,6.0
351,25.0,2019-01-20 21:44:00,2019-01-23 04:59:00,149.0,34.0,2.0
354,25.0,2019-02-22 04:53:00,2019-02-28 09:51:00,14.0,115.0,6.0
361,25.0,2019-07-09 04:30:00,2019-07-13 07:29:00,96.0,27.0,4.0
381,27.0,2019-04-26 19:35:00,2019-05-03 17:29:00,11.0,92.0,6.0
382,27.0,2019-05-04 20:14:00,2019-05-09 07:31:00,92.0,121.0,4.0
385,27.0,2019-07-05 12:29:00,2019-07-10 10:31:00,83.0,138.0,4.0
386,27.0,2019-07-15 07:31:00,2019-07-16 20:55:00,138.0,83.0,1.0
387,27.0,2019-07-21 11:34:00,2019-07-26 23:50:00,83.0,138.0,5.0
431,31.0,2019-02-26 19:52:00,2019-02-28 16:45:00,138.0,83.0,1.0
432,31.0,2019-03-07 16:46:00,2019-03-11 21:39:00,83.0,138.0,4.0
436,31.0,2019-06-01 23:44:00,2019-06-08 00:52:00,115.0,32.0,6.0
465,33.0,2019-07-30 17:40:00,2019-08-04 19:56:00,115.0,7.0,5.0
469,33.0,2019-10-14 16:29:00,2019-10-20 02:52:00,138.0,10.0,5.0
471,33.0,2019-11-20 06:36:00,2019-11-22 21:41:00,34.0,152.0,2.0
496,36.0,2019-02-20 11:37:00,2019-02-27 04:48:00,10.0,140.0,6.0
497,36.0,2019-03-02 10:54:00,2019-03-08 19:44:00,140.0,10.0,6.0
503,36.0,2019-07-08 05:56:00,2019-07-11 10:33:00,115.0,121.0,3.0
518,37.0,2019-06-08 04:30:00,2019-06-09 01:18:00,54.0,115.0,0.0
519,37.0,2019-07-07 01:29:00,2019-07-07 08:45:00,115.0,54.0,0.0
520,37.0,2019-07-07 13:30:00,2019-07-09 11:48:00,54.0,115.0,1.0
529,38.0,2019-01-31 07:57:00,2019-02-03 13:47:00,53.0,140.0,3.0
532,38.0,2019-03-22 09:54:00,2019-03-24 15:42:00,140.0,53.0,2.0
537,38.0,2019-06-22 20:46:00,2019-06-26 01:20:00,51.0,34.0,3.0
539,38.0,2019-11-10 17:29:00,2019-11-17 02:31:00,115.0,100.0,6.0
552,39.0,2019-09-17 08:52:00,2019-09-23 02:57:00,115.0,29.0,5.0
561,40.0,2019-04-13 06:54:00,2019-04-19 02:15:00,115.0,32.0,5.0
573,40.0,2019-11-20 18:51:00,2019-11-22 00:55:00,34.0,58.0,1.0
582,41.0,2019-05-28 17:46:00,2019-06-04 02:53:00,32.0,121.0,6.0
584,41.0,2019-06-23 00:27:00,2019-06-23 13:31:00,32.0,99.0,0.0
585,41.0,2019-06-24 18:41:00,2019-06-29 13:31:00,99.0,115.0,4.0
598,42.0,2019-04-24 16:23:00,2019-04-26 07:30:00,10.0,19.0,1.0
599,42.0,2019-04-26 22:09:00,2019-04-28 23:55:00,19.0,10.0,2.0
600,42.0,2019-04-30 07:29:00,2019-05-02 06:17:00,10.0,19.0,1.0
601,42.0,2019-05-03 04:31:00,2019-05-05 07:14:00,19.0,10.0,2.0
602,42.0,2019-05-06 07:28:00,2019-05-13 05:52:00,10.0,19.0,6.0
603,42.0,2019-05-16 04:31:00,2019-05-18 08:43:00,19.0,10.0,2.0
607,42.0,2019-08-12 10:31:00,2019-08-14 20:46:00,19.0,10.0,2.0
646,46.0,2019-01-22 04:59:00,2019-01-27 07:53:00,30.0,7.0,5.0
655,46.0,2019-08-23 05:09:00,2019-08-27 10:31:00,83.0,165.0,4.0
673,47.0,2019-11-30 06:51:00,2019-12-05 06:44:00,10.0,19.0,4.0
676,48.0,2019-03-01 19:59:00,2019-03-02 02:57:00,54.0,115.0,0.0
681,48.0,2019-05-15 02:22:00,2019-05-19 01:37:00,74.0,115.0,3.0
682,48.0,2019-05-19 16:31:00,2019-05-26 02:54:00,115.0,99.0,6.0
709,50.0,2019-04-14 16:18:00,2019-04-19 19:12:00,92.0,121.0,5.0
711,50.0,2019-05-01 20:10:00,2019-05-06 23:52:00,32.0,115.0,5.0
735,52.0,2019-06-07 12:08:00,2019-06-12 07:09:00,32.0,115.0,4.0
743,52.0,2019-10-07 11:50:00,2019-10-14 01:30:00,32.0,121.0,6.0
751,53.0,2019-05-07 15:54:00,2019-05-12 10:30:00,32.0,115.0,4.0
757,53.0,2019-07-13 13:23:00,2019-07-18 05:41:00,32.0,115.0,4.0
758,53.0,2019-07-19 18:59:00,2019-07-25 20:00:00,115.0,7.0,6.0
761,53.0,2019-09-08 02:55:00,2019-09-09 20:52:00,83.0,138.0,1.0
767,54.0,2019-01-15 16:52:00,2019-01-16 04:55:00,70.0,149.0,0.0
772,54.0,2019-03-10 19:52:00,2019-03-11 03:43:00,70.0,149.0,0.0
781,54.0,2019-08-10 23:40:00,2019-08-16 05:42:00,29.0,54.0,5.0
782,54.0,2019-08-16 17:42:00,2019-08-17 04:29:00,54.0,115.0,0.0
783,54.0,2019-09-19 02:49:00,2019-09-25 14:44:00,115.0,92.0,6.0
789,55.0,2019-03-24 15:37:00,2019-03-29 22:12:00,10.0,97.0,5.0
793,55.0,2019-05-19 10:31:00,2019-05-24 17:23:00,140.0,31.0,5.0
800,55.0,2019-09-19 18:54:00,2019-09-23 17:45:00,19.0,10.0,3.0
802,55.0,2019-10-08 11:46:00,2019-10-12 18:57:00,19.0,160.0,4.0
817,56.0,2019-08-02 11:34:00,2019-08-08 18:57:00,10.0,93.0,6.0
820,56.0,2019-09-15 20:46:00,2019-09-20 01:28:00,56.0,36.0,4.0
825,56.0,2019-11-15 06:56:00,2019-11-18 11:28:00,105.0,10.0,3.0
832,57.0,2019-06-23 18:59:00,2019-06-30 16:31:00,115.0,111.0,6.0
839,57.0,2019-09-19 05:50:00,2019-09-24 02:42:00,32.0,115.0,4.0
842,57.0,2019-11-06 17:57:00,2019-11-12 17:56:00,35.0,23.0,5.0
856,58.0,2019-10-10 01:29:00,2019-10-15 23:52:00,30.0,51.0,5.0
879,61.0,2019-03-28 18:40:00,2019-04-03 22:12:00,83.0,138.0,6.0
894,62.0,2019-05-01 16:32:00,2019-05-02 14:56:00,160.0,138.0,0.0
908,62.0,2019-11-16 09:19:00,2019-11-18 05:29:00,102.0,153.0,1.0
915,63.0,2019-03-29 09:49:00,2019-04-02 09:26:00,99.0,115.0,3.0
949,66.0,2019-07-24 02:55:00,2019-07-24 23:52:00,152.0,65.0,0.0
950,66.0,2019-07-29 20:47:00,2019-08-04 08:46:00,65.0,152.0,5.0
958,67.0,2019-01-11 03:15:00,2019-01-14 10:56:00,121.0,115.0,3.0
961,67.0,2019-02-21 15:34:00,2019-02-27 10:57:00,32.0,115.0,5.0
967,67.0,2019-05-17 08:33:00,2019-05-22 04:31:00,32.0,115.0,4.0
968,67.0,2019-05-24 20:50:00,2019-05-30 05:56:00,115.0,99.0,5.0
973,67.0,2019-07-25 08:48:00,2019-07-25 20:49:00,32.0,99.0,0.0
974,67.0,2019-07-28 05:41:00,2019-08-03 23:52:00,99.0,115.0,6.0
975,67.0,2019-08-06 20:50:00,2019-08-12 22:56:00,115.0,32.0,6.0
976,67.0,2019-08-13 20:26:00,2019-08-18 23:54:00,32.0,115.0,5.0
978,67.0,2019-08-31 20:33:00,2019-09-05 23:43:00,32.0,115.0,5.0
980,67.0,2019-09-21 13:01:00,2019-09-22 02:19:00,99.0,32.0,0.0
981,67.0,2019-09-23 02:52:00,2019-09-30 01:31:00,32.0,115.0,6.0
986,67.0,2019-12-03 05:30:00,2019-12-05 21:47:00,34.0,70.0,2.0
996,68.0,2019-06-14 20:41:00,2019-06-16 21:03:00,90.0,54.0,2.0
1005,68.0,2019-10-30 18:59:00,2019-11-01 08:42:00,54.0,90.0,1.0
1006,68.0,2019-11-02 02:53:00,2019-11-08 20:18:00,90.0,34.0,6.0
1022,69.0,2019-08-23 20:43:00,2019-08-26 01:05:00,14.0,34.0,2.0
1040,70.0,2019-05-23 01:32:00,2019-05-23 05:36:00,54.0,115.0,0.0
1090,72.0,2019-10-26 20:43:00,2019-10-28 23:51:00,14.0,34.0,2.0
1129,76.0,2019-03-06 01:57:00,2019-03-12 09:58:00,98.0,92.0,6.0
1130,76.0,2019-03-13 03:55:00,2019-03-18 07:55:00,92.0,7.0,5.0
1165,77.0,2019-10-24 17:38:00,2019-10-26 23:49:00,149.0,34.0,2.0
1172,78.0,2019-04-08 01:02:00,2019-04-10 22:18:00,34.0,152.0,2.0
1174,78.0,2019-06-22 20:03:00,2019-06-27 01:28:00,154.0,115.0,4.0
1194,79.0,2019-07-09 20:45:00,2019-07-16 04:25:00,115.0,99.0,6.0
1199,79.0,2019-10-09 08:49:00,2019-10-11 19:08:00,100.0,177.0,2.0
1202,79.0,2019-11-02 04:30:00,2019-11-08 09:56:00,115.0,100.0,6.0
1203,79.0,2019-11-13 02:30:00,2019-11-17 05:31:00,100.0,177.0,4.0
1204,79.0,2019-11-18 02:56:00,2019-11-25 00:48:00,177.0,115.0,6.0
1208,81.0,2019-01-28 22:59:00,2019-02-04 16:57:00,138.0,83.0,6.0
1212,81.0,2019-03-26 14:00:00,2019-04-01 22:17:00,32.0,115.0,6.0
1214,81.0,2019-04-15 00:28:00,2019-04-19 18:59:00,32.0,115.0,4.0
1223,81.0,2019-08-28 20:54:00,2019-08-30 17:43:00,58.0,34.0,1.0
1225,81.0,2019-09-15 20:48:00,2019-09-20 20:45:00,32.0,115.0,4.0
1236,82.0,2019-05-30 23:51:00,2019-06-03 01:41:00,84.0,37.0,3.0
1239,82.0,2019-08-18 02:55:00,2019-08-24 20:44:00,115.0,99.0,6.0
1269,84.0,2019-04-25 20:54:00,2019-04-29 01:30:00,90.0,7.0,3.0
1270,84.0,2019-04-29 10:30:00,2019-05-03 14:49:00,7.0,90.0,4.0
1271,84.0,2019-05-25 20:46:00,2019-05-29 01:31:00,90.0,7.0,3.0
1272,84.0,2019-05-29 16:31:00,2019-06-03 02:57:00,7.0,90.0,4.0
1276,84.0,2019-07-10 18:57:00,2019-07-13 05:20:00,54.0,90.0,2.0
1281,84.0,2019-09-24 02:44:00,2019-09-30 23:45:00,115.0,100.0,6.0
1297,86.0,2019-08-01 14:41:00,2019-08-05 02:54:00,115.0,90.0,3.0
1298,86.0,2019-09-03 23:50:00,2019-09-10 06:36:00,90.0,152.0,6.0
1299,86.0,2019-09-10 18:54:00,2019-09-16 23:55:00,152.0,90.0,6.0
1300,86.0,2019-09-19 14:49:00,2019-09-24 04:30:00,90.0,7.0,4.0
1305,86.0,2019-12-24 15:49:00,2019-12-27 21:43:00,90.0,121.0,3.0
1317,87.0,2019-06-12 14:45:00,2019-06-13 01:24:00,54.0,115.0,0.0
1384,90.0,2019-09-15 17:49:00,2019-09-18 05:56:00,58.0,72.0,2.0
1410,92.0,2019-02-02 01:58:00,2019-02-03 19:57:00,71.0,34.0,1.0
1416,92.0,2019-08-25 20:48:00,2019-08-31 16:37:00,34.0,69.0,5.0
1422,93.0,2019-01-23 22:53:00,2019-01-26 18:56:00,10.0,105.0,2.0
1423,93.0,2019-01-27 09:56:00,2019-01-31 22:42:00,105.0,138.0,4.0
1430,93.0,2019-07-10 18:59:00,2019-07-16 05:40:00,6.0,10.0,5.0
1431,93.0,2019-07-18 11:39:00,2019-07-22 07:21:00,10.0,105.0,3.0
1434,93.0,2019-10-01 04:29:00,2019-10-05 08:03:00,144.0,153.0,4.0
1436,93.0,2019-10-28 14:29:00,2019-10-30 10:25:00,105.0,10.0,1.0
1438,93.0,2019-11-23 02:28:00,2019-11-28 17:29:00,6.0,138.0,5.0
1439,94.0,2019-01-01 20:58:00,2019-01-04 01:51:00,34.0,130.0,2.0
1447,94.0,2019-06-05 20:40:00,2019-06-06 05:23:00,54.0,115.0,0.0
1448,94.0,2019-08-12 16:31:00,2019-08-17 17:42:00,115.0,100.0,5.0
1484,96.0,2019-06-15 20:51:00,2019-06-17 20:40:00,111.0,34.0,1.0
1490,96.0,2019-09-04 18:55:00,2019-09-09 20:52:00,7.0,51.0,5.0
1496,96.0,2019-11-21 15:48:00,2019-11-22 18:58:00,11.0,34.0,1.0
1498,96.0,2019-12-19 02:29:00,2019-12-19 21:49:00,99.0,73.0,0.0
1560,100.0,2019-04-23 18:50:00,2019-04-25 23:45:00,39.0,34.0,2.0
1575,100.0,2019-10-04 16:27:00,2019-10-07 07:31:00,111.0,34.0,2.0
1592,101.0,2019-05-23 18:42:00,2019-05-25 04:25:00,14.0,34.0,1.0
1598,101.0,2019-07-24 11:49:00,2019-07-31 11:05:00,115.0,73.0,6.0
1614,102.0,2019-07-01 16:30:00,2019-07-07 01:32:00,7.0,115.0,5.0
1615,102.0,2019-07-09 13:32:00,2019-07-15 04:47:00,115.0,73.0,5.0
1636,103.0,2019-06-14 22:49:00,2019-06-16 20:42:00,136.0,74.0,1.0
1655,104.0,2019-07-21 23:52:00,2019-07-24 23:53:00,34.0,22.0,3.0
1667,105.0,2019-01-02 11:42:00,2019-01-04 09:15:00,99.0,32.0,1.0
1670,105.0,2019-02-03 21:45:00,2019-02-05 03:22:00,73.0,99.0,1.0
1690,105.0,2019-11-25 18:49:00,2019-11-27 05:31:00,32.0,73.0,1.0
1713,107.0,2019-09-30 16:23:00,2019-10-06 23:52:00,72.0,115.0,6.0
1714,107.0,2019-10-07 17:40:00,2019-10-12 20:41:00,115.0,99.0,5.0
1721,108.0,2019-02-26 18:50:00,2019-03-04 18:59:00,99.0,92.0,6.0
1734,108.0,2019-08-21 18:25:00,2019-08-24 00:30:00,34.0,11.0,2.0
1738,108.0,2019-10-02 23:49:00,2019-10-04 02:42:00,99.0,32.0,1.0
1768,109.0,2019-11-27 18:57:00,2019-12-01 00:52:00,34.0,51.0,3.0
1770,110.0,2019-01-05 01:29:00,2019-01-06 01:40:00,99.0,73.0,1.0
1777,110.0,2019-04-16 01:30:00,2019-04-16 10:55:00,99.0,32.0,0.0
1781,110.0,2019-06-05 14:47:00,2019-06-09 01:30:00,34.0,7.0,3.0
1783,110.0,2019-06-26 16:06:00,2019-06-27 05:28:00,99.0,73.0,0.0
1787,110.0,2019-07-29 02:40:00,2019-07-29 20:47:00,29.0,7.0,0.0
1790,110.0,2019-08-28 17:50:00,2019-08-30 20:29:00,34.0,11.0,2.0
1791,110.0,2019-08-31 16:07:00,2019-09-02 02:55:00,11.0,34.0,1.0
1799,110.0,2019-11-28 02:30:00,2019-11-29 02:31:00,32.0,73.0,1.0
1801,110.0,2019-12-08 17:27:00,2019-12-12 02:16:00,7.0,34.0,3.0
1802,110.0,2019-12-13 00:43:00,2019-12-15 23:42:00,34.0,149.0,2.0
1806,111.0,2019-03-02 01:40:00,2019-03-03 01:53:00,11.0,34.0,1.0
1811,111.0,2019-05-19 01:07:00,2019-05-19 08:35:00,99.0,32.0,0.0
1818,111.0,2019-09-18 13:29:00,2019-09-25 05:51:00,73.0,121.0,6.0
1819,111.0,2019-09-25 07:33:00,2019-09-28 04:30:00,121.0,115.0,2.0
1820,111.0,2019-09-28 23:48:00,2019-10-05 02:43:00,115.0,73.0,6.0
1826,112.0,2019-01-21 09:58:00,2019-01-22 22:38:00,99.0,73.0,1.0
1828,112.0,2019-02-18 01:53:00,2019-02-24 07:45:00,121.0,99.0,6.0
1829,112.0,2019-02-27 01:52:00,2019-03-06 01:39:00,99.0,121.0,6.0
1835,112.0,2019-06-05 02:37:00,2019-06-11 23:46:00,92.0,111.0,6.0
1852,113.0,2019-04-12 01:24:00,2019-04-15 01:18:00,90.0,115.0,2.0
1862,113.0,2019-10-17 17:59:00,2019-10-18 04:29:00,99.0,32.0,0.0
1867,114.0,2019-01-29 22:57:00,2019-02-02 11:40:00,108.0,169.0,3.0
1870,114.0,2019-03-10 13:42:00,2019-03-16 00:59:00,169.0,112.0,5.0
1872,114.0,2019-03-26 09:26:00,2019-03-29 22:23:00,169.0,51.0,3.0
1896,115.0,2019-06-28 08:46:00,2019-06-28 16:23:00,99.0,32.0,0.0
1899,115.0,2019-08-03 14:54:00,2019-08-04 02:50:00,99.0,32.0,0.0
1902,115.0,2019-08-26 17:46:00,2019-08-27 02:41:00,32.0,99.0,0.0
1905,115.0,2019-09-27 23:50:00,2019-09-28 13:30:00,99.0,32.0,0.0
1916,116.0,2019-05-10 00:21:00,2019-05-15 11:44:00,32.0,115.0,5.0
1917,116.0,2019-05-15 18:59:00,2019-05-22 08:52:00,115.0,23.0,6.0
1920,116.0,2019-06-18 15:44:00,2019-06-20 04:30:00,34.0,18.0,1.0
1928,116.0,2019-09-26 02:47:00,2019-09-26 22:57:00,32.0,99.0,0.0
1938,117.0,2019-05-10 18:57:00,2019-05-16 23:45:00,115.0,100.0,6.0
1941,117.0,2019-06-19 20:45:00,2019-06-20 04:18:00,54.0,115.0,0.0
1942,117.0,2019-07-01 18:59:00,2019-07-02 01:31:00,115.0,54.0,0.0
1943,117.0,2019-07-06 16:31:00,2019-07-07 01:26:00,54.0,115.0,0.0
1950,117.0,2019-11-25 11:30:00,2019-11-28 21:47:00,98.0,34.0,3.0
1967,118.0,2019-09-16 14:51:00,2019-09-21 17:55:00,115.0,100.0,5.0
1976,119.0,2019-04-23 19:04:00,2019-04-24 01:12:00,115.0,54.0,0.0
1979,119.0,2019-05-22 02:43:00,2019-05-24 05:44:00,70.0,34.0,2.0
1982,119.0,2019-06-18 18:57:00,2019-06-21 17:53:00,30.0,34.0,2.0
1991,119.0,2019-11-07 14:31:00,2019-11-13 02:29:00,34.0,58.0,5.0
2008,120.0,2019-07-28 17:40:00,2019-07-30 02:52:00,14.0,34.0,1.0
2016,120.0,2019-10-31 05:57:00,2019-11-01 20:24:00,34.0,14.0,1.0
2017,120.0,2019-11-02 02:40:00,2019-11-04 21:49:00,14.0,34.0,2.0
2101,124.0,2019-06-07 09:22:00,2019-06-10 01:23:00,169.0,39.0,2.0
2103,124.0,2019-06-20 04:18:00,2019-06-26 22:00:00,34.0,169.0,6.0
2104,124.0,2019-06-29 15:59:00,2019-07-04 20:34:00,169.0,51.0,5.0
2110,124.0,2019-08-26 05:37:00,2019-08-30 20:29:00,169.0,51.0,4.0
2119,125.0,2019-01-15 01:58:00,2019-01-15 10:58:00,54.0,115.0,0.0
2136,126.0,2019-05-04 02:50:00,2019-05-10 22:37:00,99.0,154.0,6.0
2142,126.0,2019-08-04 02:51:00,2019-08-10 23:00:00,99.0,154.0,6.0
2144,126.0,2019-08-21 02:42:00,2019-08-27 23:01:00,99.0,154.0,6.0
2149,126.0,2019-10-26 18:57:00,2019-11-01 01:15:00,115.0,54.0,5.0
2161,127.0,2019-06-03 23:46:00,2019-06-10 22:44:00,99.0,154.0,6.0
2163,127.0,2019-06-20 23:51:00,2019-06-27 22:37:00,99.0,154.0,6.0
2167,127.0,2019-07-28 08:55:00,2019-08-03 22:18:00,99.0,154.0,6.0
2198,129.0,2019-05-25 17:56:00,2019-05-26 02:55:00,54.0,115.0,0.0
2229,130.0,2019-10-15 01:30:00,2019-10-21 16:29:00,139.0,115.0,6.0
2245,131.0,2019-09-01 20:44:00,2019-09-08 19:51:00,139.0,69.0,6.0
2249,132.0,2019-01-17 04:55:00,2019-01-18 10:59:00,14.0,34.0,1.0
2254,132.0,2019-04-05 22:18:00,2019-04-12 07:30:00,139.0,54.0,6.0
2255,132.0,2019-04-13 16:13:00,2019-04-14 02:58:00,54.0,115.0,0.0
2264,132.0,2019-09-26 22:57:00,2019-09-28 17:58:00,70.0,34.0,1.0
2271,132.0,2019-12-12 15:52:00,2019-12-15 01:35:00,34.0,14.0,2.0
2283,133.0,2019-05-18 16:30:00,2019-05-24 18:57:00,115.0,100.0,6.0
2374,139.0,2019-06-04 14:56:00,2019-06-10 20:18:00,178.0,173.0,6.0
2375,139.0,2019-06-14 02:49:00,2019-06-20 17:11:00,173.0,69.0,6.0
2382,139.0,2019-10-26 01:31:00,2019-11-01 18:25:00,111.0,69.0,6.0
2390,140.0,2019-06-11 20:56:00,2019-06-18 16:59:00,34.0,69.0,6.0
2406,141.0,2019-04-05 18:57:00,2019-04-11 21:13:00,22.0,157.0,6.0
2408,141.0,2019-04-22 18:59:00,2019-04-28 18:02:00,72.0,157.0,5.0
2410,141.0,2019-05-15 13:26:00,2019-05-15 20:50:00,54.0,115.0,0.0
2415,141.0,2019-08-07 20:52:00,2019-08-14 19:58:00,130.0,157.0,6.0
2421,141.0,2019-10-23 17:54:00,2019-10-25 08:42:00,58.0,72.0,1.0
2433,142.0,2019-08-07 18:59:00,2019-08-14 02:47:00,7.0,115.0,6.0
2441,143.0,2019-03-24 01:52:00,2019-03-29 21:22:00,22.0,34.0,5.0
2455,144.0,2019-01-14 04:40:00,2019-01-18 01:56:00,173.0,92.0,3.0
2456,144.0,2019-01-18 19:56:00,2019-01-22 13:25:00,92.0,173.0,3.0
2457,144.0,2019-01-23 21:46:00,2019-01-29 10:51:00,173.0,92.0,5.0
2458,144.0,2019-01-30 01:54:00,2019-02-03 12:15:00,92.0,173.0,4.0
2459,144.0,2019-02-03 12:15:00,2019-02-08 04:59:00,173.0,92.0,4.0
2460,144.0,2019-02-19 04:58:00,2019-02-22 06:51:00,92.0,173.0,3.0
2461,144.0,2019-02-22 06:51:00,2019-02-26 10:50:00,173.0,92.0,4.0
2462,144.0,2019-02-27 01:15:00,2019-03-02 09:17:00,92.0,173.0,3.0
2463,144.0,2019-03-05 02:02:00,2019-03-09 10:59:00,173.0,92.0,4.0
2464,144.0,2019-03-17 17:38:00,2019-03-22 01:42:00,92.0,173.0,4.0
2466,144.0,2019-06-25 13:46:00,2019-06-28 23:48:00,92.0,173.0,3.0
2468,144.0,2019-07-14 16:30:00,2019-07-18 23:38:00,92.0,173.0,4.0
2469,144.0,2019-07-29 23:51:00,2019-08-03 08:20:00,173.0,92.0,4.0
2470,144.0,2019-08-05 17:47:00,2019-08-08 23:42:00,92.0,173.0,3.0
2471,144.0,2019-08-10 20:54:00,2019-08-14 02:38:00,173.0,92.0,3.0
2472,144.0,2019-08-14 19:14:00,2019-08-17 23:50:00,92.0,173.0,3.0
2473,144.0,2019-08-20 02:41:00,2019-08-23 13:27:00,173.0,92.0,3.0
2474,144.0,2019-08-24 08:51:00,2019-08-27 23:55:00,92.0,173.0,3.0
2476,144.0,2019-09-20 17:55:00,2019-09-24 01:30:00,92.0,173.0,3.0
2477,144.0,2019-09-24 23:54:00,2019-09-28 07:31:00,173.0,92.0,3.0
2478,144.0,2019-09-29 02:40:00,2019-10-01 23:46:00,92.0,173.0,2.0
2479,144.0,2019-10-04 16:29:00,2019-10-07 23:52:00,173.0,92.0,3.0
2480,144.0,2019-10-08 17:49:00,2019-10-11 23:44:00,92.0,173.0,3.0
2481,144.0,2019-10-14 18:58:00,2019-10-18 22:40:00,173.0,92.0,4.0
2482,144.0,2019-10-19 02:55:00,2019-10-22 02:47:00,92.0,173.0,2.0
2483,144.0,2019-10-23 20:44:00,2019-10-27 00:19:00,173.0,92.0,3.0
2484,144.0,2019-10-27 07:58:00,2019-10-30 23:49:00,92.0,173.0,3.0
2486,144.0,2019-12-15 03:52:00,2019-12-18 21:35:00,92.0,173.0,3.0
2491,145.0,2019-04-30 07:00:00,2019-05-06 20:29:00,69.0,29.0,6.0
2492,145.0,2019-05-07 20:50:00,2019-05-13 22:24:00,29.0,69.0,6.0
2502,146.0,2019-04-13 19:18:00,2019-04-19 22:16:00,90.0,22.0,6.0
2503,146.0,2019-04-20 16:25:00,2019-04-27 05:55:00,22.0,90.0,6.0
2504,146.0,2019-04-30 02:50:00,2019-05-02 18:44:00,90.0,121.0,2.0
2505,146.0,2019-05-03 17:53:00,2019-05-06 23:50:00,121.0,90.0,3.0
2506,146.0,2019-05-07 17:44:00,2019-05-13 23:51:00,90.0,139.0,6.0
2507,146.0,2019-05-14 20:51:00,2019-05-20 20:50:00,139.0,90.0,5.0
2513,146.0,2019-07-15 16:27:00,2019-07-20 11:39:00,7.0,90.0,4.0
2514,146.0,2019-07-25 14:39:00,2019-07-31 23:44:00,90.0,65.0,6.0
2516,146.0,2019-08-12 23:43:00,2019-08-19 01:30:00,90.0,65.0,6.0
2517,146.0,2019-08-19 18:57:00,2019-08-25 23:49:00,65.0,90.0,6.0
2520,146.0,2019-10-01 08:42:00,2019-10-07 21:23:00,90.0,34.0,6.0
2521,146.0,2019-10-08 17:44:00,2019-10-15 06:02:00,34.0,90.0,6.0
